observation_date,DGS5
6/28/1982,14.91
6/29/1982,14.8
6/30/1982,14.65
7/1/1982,14.62
7/2/1982,14.69
7/5/1982,#N/A
7/6/1982,14.69
7/7/1982,14.69
7/8/1982,14.33
7/9/1982,14.19
7/12/1982,14.01
7/13/1982,14.19
7/14/1982,14.27
7/15/1982,14.16
7/16/1982,13.86
7/19/1982,13.8
7/20/1982,13.65
7/21/1982,13.7
7/22/1982,13.55
7/23/1982,13.58
7/26/1982,13.92
7/27/1982,13.89
7/28/1982,14
7/29/1982,13.89
7/30/1982,13.73
8/2/1982,13.46
8/3/1982,13.52
8/4/1982,13.6
8/5/1982,13.68
8/6/1982,13.86
8/9/1982,13.72
8/10/1982,13.74
8/11/1982,13.74
8/12/1982,13.5
8/13/1982,13.24
8/16/1982,13
8/17/1982,12.61
8/18/1982,12.45
8/19/1982,12.42
8/20/1982,12.15
8/23/1982,12.39
8/24/1982,12.29
8/25/1982,12.26
8/26/1982,12.32
8/27/1982,12.65
8/30/1982,12.71
8/31/1982,12.65
9/1/1982,12.58
9/2/1982,12.52
9/3/1982,12.26
9/6/1982,#N/A
9/7/1982,12.36
9/8/1982,12.4
9/9/1982,12.41
9/10/1982,12.56
9/13/1982,12.52
9/14/1982,12.38
9/15/1982,12.56
9/16/1982,12.52
9/17/1982,12.39
9/20/1982,12.43
9/21/1982,12.13
9/22/1982,12.04
9/23/1982,11.92
9/24/1982,12.05
9/27/1982,11.95
9/28/1982,11.78
9/29/1982,11.76
9/30/1982,11.69
10/1/1982,11.5
10/4/1982,11.73
10/5/1982,11.7
10/6/1982,11.52
10/7/1982,10.81
10/8/1982,10.71
10/11/1982,#N/A
10/12/1982,10.4
10/13/1982,10.28
10/14/1982,10.52
10/15/1982,10.64
10/18/1982,10.42
10/19/1982,10.38
10/20/1982,10.52
10/21/1982,10.54
10/22/1982,10.66
10/25/1982,10.97
10/26/1982,10.74
10/27/1982,10.76
10/28/1982,10.61
10/29/1982,10.58
11/1/1982,10.41
11/2/1982,#N/A
11/3/1982,10.3
11/4/1982,10.28
11/5/1982,10.36
11/8/1982,10.46
11/9/1982,10.41
11/10/1982,10.38
11/11/1982,#N/A
11/12/1982,10.5
11/15/1982,10.6
11/16/1982,10.63
11/17/1982,10.55
11/18/1982,10.42
11/19/1982,10.36
11/22/1982,10.25
11/23/1982,10.19
11/24/1982,10.2
11/25/1982,#N/A
11/26/1982,10.19
11/29/1982,10.39
11/30/1982,10.37
12/1/1982,10.34
12/2/1982,10.29
12/3/1982,10.16
12/6/1982,10.17
12/7/1982,10.21
12/8/1982,10.25
12/9/1982,10.3
12/10/1982,10.37
12/13/1982,10.34
12/14/1982,10.13
12/15/1982,10.15
12/16/1982,10.24
12/17/1982,10.28
12/20/1982,10.31
12/21/1982,10.21
12/22/1982,10.22
12/23/1982,10.15
12/24/1982,#N/A
12/27/1982,10.15
12/28/1982,10.15
12/29/1982,10.19
12/30/1982,10.19
12/31/1982,10.09
1/3/1983,10.02
1/4/1983,10.07
1/5/1983,10.06
1/6/1983,10.05
1/7/1983,9.98
1/10/1983,9.96
1/11/1983,9.92
1/12/1983,9.92
1/13/1983,9.81
1/14/1983,9.78
1/17/1983,9.78
1/18/1983,9.79
1/19/1983,9.89
1/20/1983,9.94
1/21/1983,10.18
1/24/1983,10.26
1/25/1983,10.18
1/26/1983,10.23
1/27/1983,10.2
1/28/1983,10.21
1/31/1983,10.31
2/1/1983,10.34
2/2/1983,10.37
2/3/1983,10.39
2/4/1983,10.51
2/7/1983,10.49
2/8/1983,10.5
2/9/1983,10.58
2/10/1983,10.38
2/11/1983,10.31
2/14/1983,10.37
2/15/1983,10.37
2/16/1983,10.29
2/17/1983,10.24
2/18/1983,10.13
2/21/1983,#N/A
2/22/1983,10.01
2/23/1983,10
2/24/1983,9.96
2/25/1983,9.82
2/28/1983,9.83
3/1/1983,9.74
3/2/1983,9.76
3/3/1983,9.72
3/4/1983,9.75
3/7/1983,9.92
3/8/1983,10.01
3/9/1983,10.02
3/10/1983,10.08
3/11/1983,10.12
3/14/1983,10.02
3/15/1983,9.99
3/16/1983,10.09
3/17/1983,10.14
3/18/1983,10.15
3/21/1983,10.2
3/22/1983,10.29
3/23/1983,10.23
3/24/1983,10.24
3/25/1983,10.32
3/28/1983,10.33
3/29/1983,10.28
3/30/1983,10.25
3/31/1983,10.27
4/1/1983,#N/A
4/4/1983,10.25
4/5/1983,10.11
4/6/1983,10.11
4/7/1983,10.09
4/8/1983,10.11
4/11/1983,9.99
4/12/1983,10.01
4/13/1983,10.01
4/14/1983,9.93
4/15/1983,9.98
4/18/1983,9.95
4/19/1983,10.04
4/20/1983,10.01
4/21/1983,10.07
4/22/1983,10.03
4/25/1983,10.01
4/26/1983,10.02
4/27/1983,9.92
4/28/1983,9.91
4/29/1983,9.88
5/2/1983,9.82
5/3/1983,9.81
5/4/1983,9.73
5/5/1983,9.76
5/6/1983,9.74
5/9/1983,9.86
5/10/1983,9.81
5/11/1983,9.82
5/12/1983,9.87
5/13/1983,9.86
5/16/1983,10.02
5/17/1983,10.03
5/18/1983,10.06
5/19/1983,10.17
5/20/1983,10.2
5/23/1983,10.27
5/24/1983,10.3
5/25/1983,10.29
5/26/1983,10.38
5/27/1983,10.37
5/30/1983,#N/A
5/31/1983,10.55
6/1/1983,10.48
6/2/1983,10.46
6/3/1983,10.53
6/6/1983,10.54
6/7/1983,10.61
6/8/1983,10.64
6/9/1983,10.63
6/10/1983,10.64
6/13/1983,10.5
6/14/1983,10.53
6/15/1983,10.48
6/16/1983,10.46
6/17/1983,10.47
6/20/1983,10.62
6/21/1983,10.64
6/22/1983,10.71
6/23/1983,10.76
6/24/1983,10.83
6/27/1983,10.92
6/28/1983,10.85
6/29/1983,10.76
6/30/1983,10.76
7/1/1983,10.72
7/4/1983,#N/A
7/5/1983,11.03
7/6/1983,10.98
7/7/1983,11.12
7/8/1983,11.16
7/11/1983,11.09
7/12/1983,11.24
7/13/1983,11.21
7/14/1983,11.21
7/15/1983,11.36
7/18/1983,11.3
7/19/1983,11.23
7/20/1983,11.14
7/21/1983,11.16
7/22/1983,11.26
7/25/1983,11.26
7/26/1983,11.33
7/27/1983,11.32
7/28/1983,11.47
7/29/1983,11.59
8/1/1983,11.63
8/2/1983,11.68
8/3/1983,11.68
8/4/1983,11.84
8/5/1983,11.85
8/8/1983,11.95
8/9/1983,11.88
8/10/1983,11.94
8/11/1983,11.87
8/12/1983,11.82
8/15/1983,11.58
8/16/1983,11.52
8/17/1983,11.41
8/18/1983,11.44
8/19/1983,11.5
8/22/1983,11.3
8/23/1983,11.37
8/24/1983,11.3
8/25/1983,11.35
8/26/1983,11.4
8/29/1983,11.63
8/30/1983,11.67
8/31/1983,11.79
9/1/1983,11.76
9/2/1983,11.81
9/5/1983,#N/A
9/6/1983,11.63
9/7/1983,11.52
9/8/1983,11.57
9/9/1983,11.53
9/12/1983,11.35
9/13/1983,11.38
9/14/1983,11.51
9/15/1983,11.61
9/16/1983,11.43
9/19/1983,11.42
9/20/1983,11.33
9/21/1983,11.4
9/22/1983,11.4
9/23/1983,11.29
9/26/1983,11.18
9/27/1983,11.21
9/28/1983,11.24
9/29/1983,11.26
9/30/1983,11.2
10/3/1983,11.22
10/4/1983,11.22
10/5/1983,11.11
10/6/1983,11.1
10/7/1983,11.12
10/10/1983,#N/A
10/11/1983,11.36
10/12/1983,11.35
10/13/1983,11.4
10/14/1983,11.31
10/17/1983,11.21
10/18/1983,11.2
10/19/1983,11.2
10/20/1983,11.22
10/21/1983,11.18
10/24/1983,11.39
10/25/1983,11.4
10/26/1983,11.4
10/27/1983,11.39
10/28/1983,11.39
10/31/1983,11.39
11/1/1983,11.38
11/2/1983,11.39
11/3/1983,11.41
11/4/1983,11.53
11/7/1983,11.56
11/8/1983,#N/A
11/9/1983,11.54
11/10/1983,11.4
11/11/1983,#N/A
11/14/1983,11.38
11/15/1983,11.4
11/16/1983,11.4
11/17/1983,11.44
11/18/1983,11.46
11/21/1983,11.38
11/22/1983,11.34
11/23/1983,11.37
11/24/1983,#N/A
11/25/1983,11.31
11/28/1983,11.41
11/29/1983,11.31
11/30/1983,11.36
12/1/1983,11.37
12/2/1983,11.47
12/5/1983,11.5
12/6/1983,11.46
12/7/1983,11.49
12/8/1983,11.57
12/9/1983,11.58
12/12/1983,11.54
12/13/1983,11.65
12/14/1983,11.68
12/15/1983,11.66
12/16/1983,11.59
12/19/1983,11.59
12/20/1983,11.56
12/21/1983,11.54
12/22/1983,11.51
12/23/1983,11.53
12/26/1983,#N/A
12/27/1983,11.5
12/28/1983,11.56
12/29/1983,11.52
12/30/1983,11.57
1/2/1984,#N/A
1/3/1984,11.59
1/4/1984,11.5
1/5/1984,11.47
1/6/1984,11.43
1/9/1984,11.47
1/10/1984,11.44
1/11/1984,11.46
1/12/1984,11.48
1/13/1984,11.26
1/16/1984,11.25
1/17/1984,11.28
1/18/1984,11.3
1/19/1984,11.29
1/20/1984,11.32
1/23/1984,11.31
1/24/1984,11.31
1/25/1984,11.31
1/26/1984,11.31
1/27/1984,11.31
1/30/1984,11.31
1/31/1984,11.34
2/1/1984,11.31
2/2/1984,11.28
2/3/1984,11.31
2/6/1984,11.4
2/7/1984,11.4
2/8/1984,11.41
2/9/1984,11.43
2/10/1984,11.52
2/13/1984,#N/A
2/14/1984,11.54
2/15/1984,11.5
2/16/1984,11.51
2/17/1984,11.63
2/20/1984,#N/A
2/21/1984,11.62
2/22/1984,11.61
2/23/1984,11.76
2/24/1984,11.69
2/27/1984,11.77
2/28/1984,11.8
2/29/1984,11.74
3/1/1984,11.77
3/2/1984,11.68
3/5/1984,11.76
3/6/1984,11.77
3/7/1984,11.87
3/8/1984,11.9
3/9/1984,11.95
3/12/1984,11.94
3/13/1984,11.97
3/14/1984,12
3/15/1984,11.99
3/16/1984,12.01
3/19/1984,12.11
3/20/1984,12.13
3/21/1984,12.17
3/22/1984,12.22
3/23/1984,12.23
3/26/1984,12.2
3/27/1984,12.21
3/28/1984,12.15
3/29/1984,12.16
3/30/1984,12.28
4/2/1984,12.29
4/3/1984,12.4
4/4/1984,12.44
4/5/1984,12.42
4/6/1984,12.24
4/9/1984,12.22
4/10/1984,12.26
4/11/1984,12.24
4/12/1984,12.16
4/13/1984,12.3
4/16/1984,12.35
4/17/1984,12.3
4/18/1984,12.4
4/19/1984,12.47
4/20/1984,#N/A
4/23/1984,12.49
4/24/1984,12.46
4/25/1984,12.45
4/26/1984,12.42
4/27/1984,12.55
4/30/1984,12.57
5/1/1984,12.57
5/2/1984,12.62
5/3/1984,12.64
5/4/1984,12.83
5/7/1984,12.9
5/8/1984,12.88
5/9/1984,12.97
5/10/1984,12.98
5/11/1984,13.2
5/14/1984,13.3
5/15/1984,13.23
5/16/1984,13.17
5/17/1984,13.27
5/18/1984,13.21
5/21/1984,13.18
5/22/1984,13.27
5/23/1984,13.3
5/24/1984,13.46
5/25/1984,13.52
5/28/1984,#N/A
5/29/1984,13.7
5/30/1984,13.84
5/31/1984,13.76
6/1/1984,13.46
6/4/1984,13.29
6/5/1984,13.24
6/6/1984,13.38
6/7/1984,13.43
6/8/1984,13.35
6/11/1984,13.57
6/12/1984,13.45
6/13/1984,13.37
6/14/1984,13.31
6/15/1984,13.12
6/18/1984,13.19
6/19/1984,13.3
6/20/1984,13.57
6/21/1984,13.67
6/22/1984,13.72
6/25/1984,13.7
6/26/1984,13.77
6/27/1984,13.7
6/28/1984,13.7
6/29/1984,13.72
7/2/1984,13.73
7/3/1984,13.67
7/4/1984,#N/A
7/5/1984,13.64
7/6/1984,13.65
7/9/1984,13.4
7/10/1984,13.46
7/11/1984,13.45
7/12/1984,13.39
7/13/1984,13.24
7/16/1984,13.24
7/17/1984,13.29
7/18/1984,13.22
7/19/1984,13.17
7/20/1984,13.24
7/23/1984,13.25
7/24/1984,13.24
7/25/1984,12.95
7/26/1984,12.8
7/27/1984,12.89
7/30/1984,13
7/31/1984,12.85
8/1/1984,12.74
8/2/1984,12.71
8/3/1984,12.55
8/6/1984,12.66
8/7/1984,12.64
8/8/1984,12.62
8/9/1984,12.59
8/10/1984,12.63
8/13/1984,12.71
8/14/1984,12.62
8/15/1984,12.68
8/16/1984,12.66
8/17/1984,12.67
8/20/1984,12.66
8/21/1984,12.64
8/22/1984,12.66
8/23/1984,12.68
8/24/1984,12.67
8/27/1984,12.8
8/28/1984,12.82
8/29/1984,12.78
8/30/1984,12.79
8/31/1984,12.77
9/3/1984,#N/A
9/4/1984,12.85
9/5/1984,12.92
9/6/1984,12.82
9/7/1984,12.75
9/10/1984,12.65
9/11/1984,12.59
9/12/1984,12.62
9/13/1984,12.47
9/14/1984,12.42
9/17/1984,12.42
9/18/1984,12.33
9/19/1984,12.26
9/20/1984,12.27
9/21/1984,12.44
9/24/1984,12.51
9/25/1984,12.53
9/26/1984,12.47
9/27/1984,12.31
9/28/1984,12.48
10/1/1984,12.51
10/2/1984,12.52
10/3/1984,12.49
10/4/1984,12.45
10/5/1984,12.35
10/8/1984,#N/A
10/9/1984,12.32
10/10/1984,12.32
10/11/1984,12.23
10/12/1984,12.17
10/15/1984,12.24
10/16/1984,12.25
10/17/1984,12.21
10/18/1984,11.98
10/19/1984,11.82
10/22/1984,11.82
10/23/1984,11.62
10/24/1984,11.55
10/25/1984,11.65
10/26/1984,11.83
10/29/1984,11.79
10/30/1984,11.63
10/31/1984,11.59
11/1/1984,11.45
11/2/1984,11.46
11/5/1984,11.4
11/6/1984,#N/A
11/7/1984,11.45
11/8/1984,11.55
11/9/1984,11.47
11/12/1984,#N/A
11/13/1984,11.55
11/14/1984,11.59
11/15/1984,11.52
11/16/1984,11.46
11/19/1984,11.41
11/20/1984,11.29
11/21/1984,11.14
11/22/1984,#N/A
11/23/1984,10.99
11/26/1984,11.05
11/27/1984,11.05
11/28/1984,11.03
11/29/1984,11.07
11/30/1984,11.25
12/3/1984,11.23
12/4/1984,11.16
12/5/1984,11.14
12/6/1984,11.23
12/7/1984,11.31
12/10/1984,11.26
12/11/1984,11.18
12/12/1984,11.14
12/13/1984,11.27
12/14/1984,11.08
12/17/1984,11.01
12/18/1984,10.83
12/19/1984,10.86
12/20/1984,10.89
12/21/1984,10.89
12/24/1984,10.85
12/25/1984,#N/A
12/26/1984,10.97
12/27/1984,10.98
12/28/1984,11.03
12/31/1984,11.08
1/1/1985,#N/A
1/2/1985,11.22
1/3/1985,11.13
1/4/1985,11.19
1/7/1985,11.09
1/8/1985,11.04
1/9/1985,11.03
1/10/1985,11.05
1/11/1985,11.14
1/14/1985,11.13
1/15/1985,11.01
1/16/1985,11.02
1/17/1985,10.99
1/18/1985,10.89
1/21/1985,#N/A
1/22/1985,10.79
1/23/1985,10.74
1/24/1985,10.61
1/25/1985,10.66
1/28/1985,10.7
1/29/1985,10.7
1/30/1985,10.68
1/31/1985,10.77
2/1/1985,10.93
2/4/1985,10.99
2/5/1985,10.93
2/6/1985,11
2/7/1985,11.04
2/8/1985,11
2/11/1985,11.05
2/12/1985,#N/A
2/13/1985,11.02
2/14/1985,10.93
2/15/1985,10.98
2/18/1985,#N/A
2/19/1985,10.95
2/20/1985,11.09
2/21/1985,11.29
2/22/1985,11.35
2/25/1985,11.4
2/26/1985,11.35
2/27/1985,11.51
2/28/1985,11.55
3/1/1985,11.52
3/4/1985,11.57
3/5/1985,11.49
3/6/1985,11.53
3/7/1985,11.61
3/8/1985,11.37
3/11/1985,11.38
3/12/1985,11.45
3/13/1985,11.59
3/14/1985,11.63
3/15/1985,11.63
3/18/1985,11.7
3/19/1985,11.67
3/20/1985,11.62
3/21/1985,11.48
3/22/1985,11.55
3/25/1985,11.53
3/26/1985,11.45
3/27/1985,11.49
3/28/1985,11.38
3/29/1985,11.29
4/1/1985,11.28
4/2/1985,11.33
4/3/1985,11.34
4/4/1985,11.35
4/5/1985,#N/A
4/8/1985,11.36
4/9/1985,11.28
4/10/1985,11.2
4/11/1985,11.05
4/12/1985,11.05
4/15/1985,11.02
4/16/1985,10.8
4/17/1985,10.86
4/18/1985,10.69
4/19/1985,10.69
4/22/1985,10.67
4/23/1985,10.79
4/24/1985,10.77
4/25/1985,10.87
4/26/1985,10.87
4/29/1985,10.96
4/30/1985,10.91
5/1/1985,10.81
5/2/1985,10.83
5/3/1985,10.74
5/6/1985,10.71
5/7/1985,10.68
5/8/1985,10.74
5/9/1985,10.68
5/10/1985,10.57
5/13/1985,10.56
5/14/1985,10.39
5/15/1985,10.39
5/16/1985,10.28
5/17/1985,10.32
5/20/1985,10.04
5/21/1985,10.07
5/22/1985,10.05
5/23/1985,10.11
5/24/1985,10.05
5/27/1985,#N/A
5/28/1985,9.95
5/29/1985,9.9
5/30/1985,9.84
5/31/1985,9.68
6/3/1985,9.5
6/4/1985,9.47
6/5/1985,9.26
6/6/1985,9.33
6/7/1985,9.67
6/10/1985,9.68
6/11/1985,9.63
6/12/1985,9.65
6/13/1985,9.67
6/14/1985,9.39
6/17/1985,9.45
6/18/1985,9.33
6/19/1985,9.46
6/20/1985,9.51
6/21/1985,9.75
6/24/1985,9.83
6/25/1985,9.95
6/26/1985,9.97
6/27/1985,9.83
6/28/1985,9.65
7/1/1985,9.58
7/2/1985,9.61
7/3/1985,9.62
7/4/1985,#N/A
7/5/1985,9.3
7/8/1985,9.41
7/9/1985,9.41
7/10/1985,9.45
7/11/1985,9.61
7/12/1985,9.63
7/15/1985,9.63
7/16/1985,9.59
7/17/1985,9.54
7/18/1985,9.71
7/19/1985,9.72
7/22/1985,9.87
7/23/1985,9.91
7/24/1985,9.92
7/25/1985,9.91
7/26/1985,9.96
7/29/1985,10.02
7/30/1985,10.02
7/31/1985,9.98
8/1/1985,9.95
8/2/1985,10.09
8/5/1985,10.06
8/6/1985,10.08
8/7/1985,10.01
8/8/1985,9.91
8/9/1985,9.86
8/12/1985,9.86
8/13/1985,9.92
8/14/1985,9.84
8/15/1985,9.83
8/16/1985,9.74
8/19/1985,9.74
8/20/1985,9.7
8/21/1985,9.63
8/22/1985,9.62
8/23/1985,9.67
8/26/1985,9.7
8/27/1985,9.65
8/28/1985,9.63
8/29/1985,9.58
8/30/1985,9.74
9/2/1985,#N/A
9/3/1985,9.71
9/4/1985,9.64
9/5/1985,9.71
9/6/1985,9.97
9/9/1985,9.97
9/10/1985,9.96
9/11/1985,9.98
9/12/1985,9.97
9/13/1985,9.87
9/16/1985,9.83
9/17/1985,9.85
9/18/1985,9.87
9/19/1985,9.89
9/20/1985,9.81
9/23/1985,9.74
9/24/1985,9.69
9/25/1985,9.59
9/26/1985,9.61
9/27/1985,#N/A
9/30/1985,9.73
10/1/1985,9.69
10/2/1985,9.69
10/3/1985,9.69
10/4/1985,9.73
10/7/1985,9.83
10/8/1985,9.81
10/9/1985,9.82
10/10/1985,9.82
10/11/1985,9.82
10/14/1985,#N/A
10/15/1985,9.79
10/16/1985,9.73
10/17/1985,9.67
10/18/1985,9.62
10/21/1985,9.63
10/22/1985,9.6
10/23/1985,9.62
10/24/1985,9.64
10/25/1985,9.67
10/28/1985,9.75
10/29/1985,9.61
10/30/1985,9.45
10/31/1985,9.47
11/1/1985,9.45
11/4/1985,9.44
11/5/1985,9.39
11/6/1985,9.38
11/7/1985,9.38
11/8/1985,9.3
11/11/1985,#N/A
11/12/1985,9.2
11/13/1985,9.28
11/14/1985,9.33
11/15/1985,9.39
11/18/1985,9.22
11/19/1985,9.2
11/20/1985,9.22
11/21/1985,9.17
11/22/1985,9.22
11/25/1985,9.23
11/26/1985,9.24
11/27/1985,9.12
11/28/1985,#N/A
11/29/1985,9.07
12/2/1985,9.14
12/3/1985,9.15
12/4/1985,9.1
12/5/1985,9.1
12/6/1985,9.12
12/9/1985,8.98
12/10/1985,8.83
12/11/1985,8.64
12/12/1985,8.72
12/13/1985,8.63
12/16/1985,8.62
12/17/1985,8.48
12/18/1985,8.57
12/19/1985,8.58
12/20/1985,8.52
12/23/1985,8.56
12/24/1985,8.56
12/25/1985,#N/A
12/26/1985,8.52
12/27/1985,8.5
12/30/1985,8.49
12/31/1985,8.49
1/1/1986,#N/A
1/2/1986,8.51
1/3/1986,8.52
1/6/1986,8.54
1/7/1986,8.44
1/8/1986,8.58
1/9/1986,8.78
1/10/1986,8.89
1/13/1986,9
1/14/1986,8.93
1/15/1986,8.82
1/16/1986,8.79
1/17/1986,8.74
1/20/1986,#N/A
1/21/1986,8.74
1/22/1986,8.77
1/23/1986,8.74
1/24/1986,8.74
1/27/1986,8.63
1/28/1986,8.53
1/29/1986,8.56
1/30/1986,8.57
1/31/1986,8.53
2/3/1986,8.5
2/4/1986,8.44
2/5/1986,8.51
2/6/1986,8.54
2/7/1986,8.62
2/10/1986,8.54
2/11/1986,8.47
2/12/1986,8.46
2/13/1986,8.43
2/14/1986,8.29
2/17/1986,#N/A
2/18/1986,8.28
2/19/1986,8.37
2/20/1986,8.39
2/21/1986,8.24
2/24/1986,8.2
2/25/1986,8.21
2/26/1986,8.07
2/27/1986,7.91
2/28/1986,7.91
3/3/1986,7.76
3/4/1986,7.55
3/5/1986,7.76
3/6/1986,7.68
3/7/1986,7.56
3/10/1986,7.41
3/11/1986,7.35
3/12/1986,7.37
3/13/1986,7.46
3/14/1986,7.4
3/17/1986,7.42
3/18/1986,7.48
3/19/1986,7.46
3/20/1986,7.45
3/21/1986,7.47
3/24/1986,7.4
3/25/1986,7.39
3/26/1986,7.36
3/27/1986,7.28
3/28/1986,#N/A
3/31/1986,7.19
4/1/1986,7.18
4/2/1986,7.21
4/3/1986,7.29
4/4/1986,7.22
4/7/1986,7.19
4/8/1986,7.07
4/9/1986,6.99
4/10/1986,6.95
4/11/1986,7
4/14/1986,6.89
4/15/1986,6.88
4/16/1986,6.68
4/17/1986,6.75
4/18/1986,6.78
4/21/1986,6.75
4/22/1986,6.93
4/23/1986,7.11
4/24/1986,7.31
4/25/1986,7.39
4/28/1986,7.27
4/29/1986,7.17
4/30/1986,7.17
5/1/1986,7.2
5/2/1986,7.23
5/5/1986,7.17
5/6/1986,7.16
5/7/1986,7.21
5/8/1986,7.17
5/9/1986,7.25
5/12/1986,7.41
5/13/1986,7.46
5/14/1986,7.48
5/15/1986,7.67
5/16/1986,7.89
5/19/1986,7.87
5/20/1986,7.8
5/21/1986,7.76
5/22/1986,7.76
5/23/1986,7.73
5/26/1986,#N/A
5/27/1986,7.65
5/28/1986,7.55
5/29/1986,7.78
5/30/1986,7.82
6/2/1986,8.05
6/3/1986,7.99
6/4/1986,8.17
6/5/1986,8.1
6/6/1986,7.78
6/9/1986,7.94
6/10/1986,7.92
6/11/1986,7.9
6/12/1986,7.83
6/13/1986,7.57
6/16/1986,7.47
6/17/1986,7.45
6/18/1986,7.41
6/19/1986,7.49
6/20/1986,7.45
6/23/1986,7.42
6/24/1986,7.35
6/25/1986,7.31
6/26/1986,7.29
6/27/1986,7.27
6/30/1986,7.23
7/1/1986,7.23
7/2/1986,7.23
7/3/1986,7.15
7/4/1986,#N/A
7/7/1986,7.14
7/8/1986,7.26
7/9/1986,7.14
7/10/1986,7.12
7/11/1986,7
7/14/1986,6.97
7/15/1986,6.91
7/16/1986,6.9
7/17/1986,6.91
7/18/1986,6.88
7/21/1986,6.88
7/22/1986,6.93
7/23/1986,7.04
7/24/1986,7.12
7/25/1986,7.09
7/28/1986,7.23
7/29/1986,7.13
7/30/1986,7.1
7/31/1986,7.02
8/1/1986,7.02
8/4/1986,7.01
8/5/1986,7.07
8/6/1986,7.13
8/7/1986,7.1
8/8/1986,6.97
8/11/1986,6.9
8/12/1986,6.89
8/13/1986,6.83
8/14/1986,6.89
8/15/1986,6.83
8/18/1986,6.83
8/19/1986,6.7
8/20/1986,6.65
8/21/1986,6.62
8/22/1986,6.68
8/25/1986,6.65
8/26/1986,6.63
8/27/1986,6.53
8/28/1986,6.52
8/29/1986,6.4
9/1/1986,#N/A
9/2/1986,6.45
9/3/1986,6.64
9/4/1986,6.63
9/5/1986,6.81
9/8/1986,6.89
9/9/1986,6.88
9/10/1986,6.85
9/11/1986,7.07
9/12/1986,7.09
9/15/1986,7
9/16/1986,6.99
9/17/1986,6.93
9/18/1986,7.02
9/19/1986,7.1
9/22/1986,7.06
9/23/1986,7.03
9/24/1986,6.94
9/25/1986,6.94
9/26/1986,6.96
9/29/1986,7.04
9/30/1986,6.98
10/1/1986,6.93
10/2/1986,6.95
10/3/1986,6.74
10/6/1986,6.71
10/7/1986,6.71
10/8/1986,6.71
10/9/1986,6.73
10/10/1986,6.73
10/13/1986,#N/A
10/14/1986,6.82
10/15/1986,6.87
10/16/1986,6.87
10/17/1986,6.94
10/20/1986,7.05
10/21/1986,6.96
10/22/1986,6.91
10/23/1986,6.82
10/24/1986,6.86
10/27/1986,6.82
10/28/1986,6.85
10/29/1986,6.82
10/30/1986,6.75
10/31/1986,6.76
11/3/1986,6.71
11/4/1986,6.71
11/5/1986,6.72
11/6/1986,6.79
11/7/1986,6.86
11/10/1986,6.89
11/11/1986,#N/A
11/12/1986,6.87
